[CLS] 신체 : 183 ##c ##m [SEP]	-100 O O SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I -100
[CLS] 중량 45 ##키 ##로 하 ##는데 178 / 55 ##인 ##데 많이 드 ##는 ##건 ##가요 ? . ㅈ . [SEP]	-100 O O O O O O SS_LENGTH-B O SS_WEIGHT-B O O O O O O O O O O O -100
[CLS] 강호동 키 ##가 183 ##센 ##티 ##네 몸 ##무 ##개 ##도 110 ##키 ##로 ##정 ##도 나가 ##네 [SEP]	-100 SS_NAME-B O O SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I O O O O O SS_WEIGHT-B SS_WEIGHT-I SS_WEIGHT-I O O O O -100
[CLS] 178 ##c ##m / 58 ##k ##g 정도 ##라 보통 바지 ##S 아님 [SEP]	-100 SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I O SS_WEIGHT-B SS_WEIGHT-I SS_WEIGHT-I O O O O O O -100
[CLS] 키 196 ##에 신체 ##도 좋 ##아 ##서 다 특급 ##인 ##데 [SEP]	-100 O SS_LENGTH-B O O O O O O O O O O -100
[CLS] 제 키 ##가 170 ##c ##m ##이 되 ##는데 , 레 ##깅 ##스 기장 ##이 너무 짧 ##지 않 ##아 ##서 복숭아 ##뼈 ##까 ##지 닿 ##는 것 ##도 마음 ##에 들 ##더라 ##고 ##요 . [SEP]	-100 O O O SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O -100
[CLS] 물론 키 ##가 193 ##이 ##구요 [SEP]	-100 O O O SS_LENGTH-B O O -100
[CLS] 포지션 ##은 센터 ##인 ##데 키 ##가 무려 197 ##c ##m 임 ㄷ ##ㄷ ##ㄷ [SEP]	-100 O O O O O O O O SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I O O O O -100
[CLS] 190 cm [SEP]	-100 SS_LENGTH-B SS_LENGTH-I -100
[CLS] ? 키 ##도 172 ##신 ##가요 [SEP]	-100 O O O SS_LENGTH-B O O -100
[CLS] 신병 갔 ##다 왔 ##는데 바지 ##가 [UNK] 178 / 60 ##이 ##였 ##는데 지금 64 ##키 ##로 ##인 ##데 드 ##블 ##코 넘 꽉 ##끼 ##고 ㅜ . . 이제 사이즈 한 29 ##로 가야 ##할 ##까요 ? . . . [SEP]	-100 O O O O O O O O SS_LENGTH-B O SS_WEIGHT-B O O O O SS_WEIGHT-B SS_WEIGHT-I SS_WEIGHT-I O O O O O O O O O O O O O O O O O O O O O O O O -100
[CLS] 전 경기 예선 탈락 ##에 빛나 ##는 키 181 ##의 개 ##커 ##나 ##인 [SEP]	-100 O O O O O O O O SS_LENGTH-B O O O O O -100
[CLS] 이름 : 오이 ##열 E ##N ##F ##J 92 ##년 ##생 174 ##c ##m 71 kg 다 ##재 ##다 ##능 ##이 장점 ##인 ##사람 [SEP]	-100 O O SS_NAME-B SS_NAME-I O O O O SS_AGE-B SS_AGE-I SS_AGE-I SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I SS_WEIGHT-B SS_WEIGHT-I O O O O O O O O -100
[CLS] 위 ##무 ##선 186 남 ##망 ##기 188 ##인 ##가 [SEP]	-100 SS_NAME-B SS_NAME-I SS_NAME-I SS_LENGTH-B SS_NAME-B SS_NAME-I SS_NAME-I SS_LENGTH-B O O -100
[CLS] 저 ##는 180 입니다 [SEP]	-100 O O SS_LENGTH-B O -100
[CLS] 키 ##가 188 ##이 ##라 ##내 ##요 [SEP]	-100 O O SS_LENGTH-B O O O O -100
[CLS] 김진 ##수 ( 178 / 60 ) [SEP]	-100 SS_NAME-B SS_NAME-I O SS_LENGTH-B O SS_WEIGHT-B O -100
[CLS] 이상 ##은 ##님 178 ##이 ##라는 ##데 김보 ##라 감독 ##님 ##도 비슷 ##해 ##보 ##였 ##다 [SEP]	-100 SS_NAME-B SS_NAME-I O SS_LENGTH-B O O O SS_NAME-B SS_NAME-I O O O O O O O O -100
[CLS] 아빠 ##랑 키 재 봐서 151 ##센 ##치 나왔 ##어요 [SEP]	-100 O O O O O SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I O O -100
[CLS] 웅 16 ##살 ##에 185 ##c ##m ##를 넘긴 조 ##디 ##이 ##야 ##기 [SEP]	-100 O SS_AGE-B SS_AGE-I O SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I O O O O O O O -100
[CLS] 악 ! ! ! ! ! ! ! ! ! 키 백 ##구 ##십 ##삼 [SEP]	-100 O O O O O O O O O O O SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I SS_LENGTH-I -100
[CLS] 임수 ##향 출생 : 1990 ##년 4 ##월 19 ##일 신체 : 169 ##c ##m , 48 ##k ##g [SEP]	-100 SS_NAME-B SS_NAME-I O O SS_BIRTH-B SS_BIRTH-I SS_BIRTH-I SS_BIRTH-I SS_BIRTH-I SS_BIRTH-I O O SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I O SS_WEIGHT-B SS_WEIGHT-I SS_WEIGHT-I -100
[CLS] 헐 나 키 ##컸 ##나 ##봐 174 . 3 ##이 ##라 ##니 [SEP]	-100 O O O O O O SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I O O O -100
[CLS] 156 ##되 ##니까 157 ##됐 ##으면 ##좋 ##겠 ##당 . [SEP]	-100 SS_LENGTH-B O O O O O O O O O -100
[CLS] 155 ##c ##m / 49 ##k ##g 적혀 ##있 ##는데 [SEP]	-100 SS_LENGTH-B SS_LENGTH-I SS_LENGTH-I O SS_WEIGHT-B SS_WEIGHT-I SS_WEIGHT-I O O O -100
